"area_no","area","area_name","prefecture_no","prefecture","prefecture_name"
"010","hokkaido","北海道","001","hokkaido","北海道"
"020","tohoku","東北","002","aomori","青森県"
"020","tohoku","東北","003","iwate","岩手県"
"020","tohoku","東北","004","miyagi","宮城県"
"020","tohoku","東北","005","akita","秋田県"
"020","tohoku","東北","006","yamagata","山形県"
"020","tohoku","東北","007","fukushima","福島県"
"030","kanto","関東","008","ibaraki","茨城県"
"030","kanto","関東","009","tochigi","栃木県"
"030","kanto","関東","010","gumma","群馬県"
"030","kanto","関東","011","saitama","埼玉県"
"030","kanto","関東","012","chiba","千葉県"
"030","kanto","関東","013","tokyo","東京都"
"030","kanto","関東","014","kanagawa","神奈川県"
"040","koshinetsu","甲信越・北陸","015","niigata","新潟県"
"040","koshinetsu","甲信越・北陸","016","toyama","富山県"
"040","koshinetsu","甲信越・北陸","017","ishikawa","石川県"
"040","koshinetsu","甲信越・北陸","018","fukui","福井県"
"040","koshinetsu","甲信越・北陸","019","yamanashi","山梨県"
"040","koshinetsu","甲信越・北陸","020","nagano","長野県"
"050","tokai","東海","021","gifu","岐阜県"
"050","tokai","東海","022","shizuoka","静岡県"
"050","tokai","東海","023","aichi","愛知県"
"050","tokai","東海","024","mie","三重県"
"060","kansai","関西","025","shiga","滋賀県"
"060","kansai","関西","026","kyoto","京都府"
"060","kansai","関西","027","osaka","大阪府"
"060","kansai","関西","028","hyogo","兵庫県"
"060","kansai","関西","029","nara","奈良県"
"060","kansai","関西","030","wakayama","和歌山県"
"070","shikoku","四国","036","tokushima","徳島県"
"070","shikoku","四国","037","kagawa","香川県"
"070","shikoku","四国","038","ehime","愛媛県"
"070","shikoku","四国","039","kochi","高知県"
"080","chugoku","中国","031","tottori","鳥取県"
"080","chugoku","中国","032","shimane","島根県"
"080","chugoku","中国","033","okayama","岡山県"
"080","chugoku","中国","034","hiroshima","広島県"
"080","chugoku","中国","035","yamaguchi","山口県"
"090","kyushu","九州・沖縄","040","fukuoka","福岡県"
"090","kyushu","九州・沖縄","041","saga","佐賀県"
"090","kyushu","九州・沖縄","042","nagasaki","長崎県"
"090","kyushu","九州・沖縄","043","kumamoto","熊本県"
"090","kyushu","九州・沖縄","044","oita","大分県"
"090","kyushu","九州・沖縄","045","miyazaki","宮崎県"
"090","kyushu","九州・沖縄","046","kagoshima","鹿児島県"
